retained_gw,ree_total_gwh,ree_in_shed_gwh,share_in_shed_pct,ree_in_eea_gwh,share_in_eea_pct
0.0,3075,890,29.0,1255,40.8
3.0,3886,1052,27.1,1517,39.0
