datetime,wind_mw,solar_mw,gas_mw,coal_mw,nuclear_mw,fuel_total_mw
2025-01-19 00:00:00,27152.884863,0.043585,19070.555271999998,4949.590269,5110.044831,56283.118819999996
2025-01-19 01:00:00,27186.590919000002,0.012613000000000001,19302.140209,5085.901524,5109.810082,56684.455346999996
2025-01-19 02:00:00,26756.351229,0.017251,20021.350969,5653.051431000001,5111.132557999999,57541.903437999994
2025-01-19 03:00:00,25705.235045,0.0009760000000000001,20989.32525,6853.256598,5110.675542,58658.493410999996
2025-01-19 04:00:00,23832.95375,0.000981,22182.365492,8869.206918,5109.588474,59994.115615
2025-01-19 05:00:00,22068.03509,0.00094,24344.333044,10263.59167,5109.6899570000005,61785.650701000006
2025-01-19 06:00:00,20421.899269,0.119879,26670.204692,11003.149883,5108.902773,63204.276496000006
2025-01-19 07:00:00,17577.485995000003,519.392625,28994.250833000002,11614.469651,5109.366053,63814.965157
2025-01-19 08:00:00,14156.81148,9157.394015,27361.223044,11267.025291,5108.8566980000005,67051.310528
2025-01-19 09:00:00,13809.882108000002,18908.248331,21568.103223000002,8944.620034,5108.853356,68339.707052
2025-01-19 10:00:00,11821.749948,20824.764945,20413.275909,7911.987262000001,5109.572195,66081.350259
2025-01-19 11:00:00,9159.332961,20896.231622000003,20505.119472,7708.650285000001,5109.253751,63378.58809100001
2025-01-19 12:00:00,7093.06958,20827.809672,20543.744094,7739.834992,5110.385764000001,61314.844101999995
2025-01-19 13:00:00,5836.491864999999,21299.471211,20081.866762,7161.780580999999,5110.204472,59489.814891
2025-01-19 14:00:00,5528.739146,21098.388183000003,19845.715674,6594.2501950000005,5110.728603,58177.821801
2025-01-19 15:00:00,5144.732818,20902.069137,20256.342425,5518.545741,5110.435161,56932.125282
2025-01-19 16:00:00,5304.575323,16685.277587,22984.909277000002,7098.977054000001,5110.583124000001,57184.322365
2025-01-19 17:00:00,5256.975994,3660.95614,33186.206372,10838.7399,5110.341583,58053.219989000005
2025-01-19 18:00:00,5940.179976,10.993754,37611.589028,11606.741579000001,5109.919382,60279.423719000006
2025-01-19 19:00:00,8410.562394,0.097804,37988.981169000006,11631.696211,5109.3648729999995,63140.702451000005
2025-01-19 20:00:00,11269.877889,0.018372,37606.100793000005,11608.984755000001,5109.494705,65594.47651400001
2025-01-19 21:00:00,12913.162699,0.00519,36484.368023999996,11576.505056999998,5109.921866,66083.962836
2025-01-19 22:00:00,13843.611951,0.000823,35083.325708000004,11613.919241,5109.440709,65650.29843200001
2025-01-19 23:00:00,11033.359435999999,0.000594,26284.752953,8771.285067,3832.674172,49922.072222
2025-01-20 00:00:00,15416.652122,0.000821,32865.973895,11854.304241,5109.599058,65246.530137
2025-01-20 01:00:00,15274.347156,0.001678,33472.932870000004,11908.175477,5109.700992,65765.158173
2025-01-20 02:00:00,15790.329739,0.001767,33419.864155,11914.298567999998,5109.71377,66234.207999
2025-01-20 03:00:00,15929.906736,0.000861,33889.588685,11922.30591,5109.7091439999995,66851.511336
2025-01-20 04:00:00,15884.793844,0.0008290000000000001,33846.029551,11899.744698999999,5109.682694,66740.251617
2025-01-20 05:00:00,15692.674915000001,0.0039629999999999995,35445.67477,11902.496222999998,5110.478965,68151.328836
2025-01-20 06:00:00,15377.310568,0.057200999999999995,37399.730164,11916.427529999999,5110.070835999999,69803.596299
2025-01-20 07:00:00,15210.913151,222.710765,37633.949843,11835.675593,5109.930758,70013.18011
2025-01-20 08:00:00,14300.259915999999,4643.823004,36540.844592,11617.710676,5109.589725,72212.227913
2025-01-20 09:00:00,15649.697466999998,10354.357501,32283.230000000003,11549.2007,5110.460302,74946.94597
2025-01-20 10:00:00,15092.391349,12068.419914,30391.257709000005,11286.180077,5109.957807,73948.206856
2025-01-20 11:00:00,12358.491259999999,12628.922572,31450.850067,11295.943178000001,5110.549101,72844.756178
2025-01-20 12:00:00,10222.55672,12447.326216000001,32166.304532000002,11373.707339,5110.708928,71320.60373500001
2025-01-20 13:00:00,8698.213142999999,11650.280711000001,32961.963887000005,11447.433664999999,5110.541018,69868.432424
2025-01-20 14:00:00,8478.507576,10319.942393000001,34093.659852,11316.581976,5110.853945,69319.545742
2025-01-20 15:00:00,9442.044499,8194.429151999999,35961.623376,11572.622956,5111.221733,70281.941716
2025-01-20 16:00:00,11899.320899999999,6036.91472,35861.023022,11617.824596,5111.812433,70526.895671
2025-01-20 17:00:00,13845.935976,1770.3389670000001,38084.656417000006,11649.22109,5111.724162,70461.87661200001
2025-01-20 18:00:00,15459.009656000002,61.33511,39118.969244,11610.717817,5111.433331,71361.465158
2025-01-20 19:00:00,17601.975399000003,0.001001,37710.83463900001,11647.465737999999,5111.170144,72071.44692100001
2025-01-20 20:00:00,19122.563022000002,0.000946,36465.860117000004,11644.486578999999,5111.565053,72344.47571700001
2025-01-20 21:00:00,19627.813006000004,0.000891,35332.225816,11619.447777000001,5110.834527,71690.322017
2025-01-20 22:00:00,20467.84824,0.000838,32975.069121,11547.524005000001,5111.389779,70101.831983
2025-01-20 23:00:00,15685.455966000001,0.0005610000000000001,23752.517822,8417.191832,3833.512058,51688.67823900001
2025-01-21 00:00:00,20228.592223,0.000819,31569.074142999998,11238.064049999999,5111.105589,68146.836824
